ACTIVE ENGINE ALERTS
==================================================
Source: NASA C-MAPSS Test Dataset (real RUL values)

Total Active Alerts: 195

🟠 WARNING  | FD001 Engine  18 | RUL:  28 cycles | Action: Schedule inspection
🔴 CRITICAL | FD002 Engine 111 | RUL:   9 cycles | Action: GROUND IMMEDIATELY
🔴 CRITICAL | FD002 Engine 116 | RUL:   7 cycles | Action: GROUND IMMEDIATELY
🔴 CRITICAL | FD002 Engine 120 | RUL:  15 cycles | Action: GROUND IMMEDIATELY
🔴 CRITICAL | FD002 Engine 124 | RUL:   7 cycles | Action: GROUND IMMEDIATELY
🟠 WARNING  | FD002 Engine 132 | RUL:  39 cycles | Action: Schedule inspection
🟠 WARNING  | FD002 Engine 133 | RUL:  38 cycles | Action: Schedule inspection
🔴 CRITICAL | FD002 Engine 134 | RUL:   9 cycles | Action: GROUND IMMEDIATELY
🔴 CRITICAL | FD002 Engine 138 | RUL:   7 cycles | Action: GROUND IMMEDIATELY
🔴 CRITICAL | FD002 Engine 146 | RUL:  10 cycles | Action: GROUND IMMEDIATELY
🔴 CRITICAL | FD002 Engine 148 | RUL:  11 cycles | Action: GROUND IMMEDIATELY
🟠 WARNING  | FD002 Engine 150 | RUL:  34 cycles | Action: Schedule inspection
🔴 CRITICAL | FD002 Engine 158 | RUL:  15 cycles | Action: GROUND IMMEDIATELY
🔴 CRITICAL | FD002 Engine 159 | RUL:   9 cycles | Action: GROUND IMMEDIATELY
🔴 CRITICAL | FD002 Engine 161 | RUL:  13 cycles | Action: GROUND IMMEDIATELY
🔴 CRITICAL | FD002 Engine 164 | RUL:  14 cycles | Action: GROUND IMMEDIATELY
🟠 WARNING  | FD002 Engine 171 | RUL:  36 cycles | Action: Schedule inspection
🔴 CRITICAL | FD002 Engine 173 | RUL:  14 cycles | Action: GROUND IMMEDIATELY
🟠 WARNING  | FD002 Engine 176 | RUL:  23 cycles | Action: Schedule inspection
🔴 CRITICAL | FD002 Engine 177 | RUL:   6 cycles | Action: GROUND IMMEDIATELY
🟠 WARNING  | FD002 Engine 179 | RUL:  35 cycles | Action: Schedule inspection
🔴 CRITICAL | FD002 Engine 182 | RUL:  14 cycles | Action: GROUND IMMEDIATELY
🟠 WARNING  | FD002 Engine 185 | RUL:  19 cycles | Action: Schedule inspection
🔴 CRITICAL | FD002 Engine 186 | RUL:  10 cycles | Action: GROUND IMMEDIATELY
🔴 CRITICAL | FD002 Engine 190 | RUL:  12 cycles | Action: GROUND IMMEDIATELY
🔴 CRITICAL | FD002 Engine 192 | RUL:  13 cycles | Action: GROUND IMMEDIATELY
🟠 WARNING  | FD002 Engine 193 | RUL:  37 cycles | Action: Schedule inspection
🟠 WARNING  | FD002 Engine 198 | RUL:  32 cycles | Action: Schedule inspection
🔴 CRITICAL | FD002 Engine 208 | RUL:   8 cycles | Action: GROUND IMMEDIATELY
🟠 WARNING  | FD002 Engine 209 | RUL:  23 cycles | Action: Schedule inspection
🔴 CRITICAL | FD002 Engine 210 | RUL:   8 cycles | Action: GROUND IMMEDIATELY
🔴 CRITICAL | FD002 Engine 211 | RUL:   6 cycles | Action: GROUND IMMEDIATELY
🔴 CRITICAL | FD002 Engine 225 | RUL:  11 cycles | Action: GROUND IMMEDIATELY
🔴 CRITICAL | FD002 Engine 227 | RUL:  14 cycles | Action: GROUND IMMEDIATELY
🔴 CRITICAL | FD002 Engine 231 | RUL:   8 cycles | Action: GROUND IMMEDIATELY
🔴 CRITICAL | FD002 Engine 236 | RUL:  12 cycles | Action: GROUND IMMEDIATELY
🟠 WARNING  | FD002 Engine 242 | RUL:  17 cycles | Action: Schedule inspection
🟠 WARNING  | FD002 Engine 245 | RUL:  16 cycles | Action: Schedule inspection
🟠 WARNING  | FD002 Engine 250 | RUL:  23 cycles | Action: Schedule inspection
🔴 CRITICAL | FD002 Engine 252 | RUL:  12 cycles | Action: GROUND IMMEDIATELY
🟠 WARNING  | FD003 Engine   3 | RUL:  27 cycles | Action: Schedule inspection
🟠 WARNING  | FD003 Engine  14 | RUL:  31 cycles | Action: Schedule inspection
🟠 WARNING  | FD003 Engine  21 | RUL:  18 cycles | Action: Schedule inspection
🔴 CRITICAL | FD003 Engine  24 | RUL:   9 cycles | Action: GROUND IMMEDIATELY
🔴 CRITICAL | FD003 Engine  26 | RUL:  11 cycles | Action: GROUND IMMEDIATELY
🟠 WARNING  | FD003 Engine  38 | RUL:  22 cycles | Action: Schedule inspection
🔴 CRITICAL | FD003 Engine  39 | RUL:   8 cycles | Action: GROUND IMMEDIATELY
🔴 CRITICAL | FD003 Engine  46 | RUL:   7 cycles | Action: GROUND IMMEDIATELY
🔴 CRITICAL | FD003 Engine  50 | RUL:  11 cycles | Action: GROUND IMMEDIATELY
🟠 WARNING  | FD003 Engine  58 | RUL:  40 cycles | Action: Schedule inspection
🟠 WARNING  | FD003 Engine  64 | RUL:  28 cycles | Action: Schedule inspection
🟠 WARNING  | FD003 Engine  71 | RUL:  35 cycles | Action: Schedule inspection
🟠 WARNING  | FD003 Engine  76 | RUL:  27 cycles | Action: Schedule inspection
🟠 WARNING  | FD003 Engine  78 | RUL:  20 cycles | Action: Schedule inspection
🟠 WARNING  | FD003 Engine  79 | RUL:  18 cycles | Action: Schedule inspection
🔴 CRITICAL | FD003 Engine  81 | RUL:  15 cycles | Action: GROUND IMMEDIATELY
🔴 CRITICAL | FD003 Engine  82 | RUL:   6 cycles | Action: GROUND IMMEDIATELY
🟠 WARNING  | FD003 Engine  86 | RUL:  25 cycles | Action: Schedule inspection
🔴 CRITICAL | FD003 Engine  92 | RUL:  14 cycles | Action: GROUND IMMEDIATELY
🔴 CRITICAL | FD003 Engine  94 | RUL:  10 cycles | Action: GROUND IMMEDIATELY
🟠 WARNING  | FD003 Engine  98 | RUL:  17 cycles | Action: Schedule inspection
🔴 CRITICAL | FD003 Engine  99 | RUL:   8 cycles | Action: GROUND IMMEDIATELY
🟠 WARNING  | FD003 Engine 100 | RUL:  28 cycles | Action: Schedule inspection
🟠 WARNING  | FD004 Engine   1 | RUL:  22 cycles | Action: Schedule inspection
🟠 WARNING  | FD004 Engine   2 | RUL:  39 cycles | Action: Schedule inspection
🔴 CRITICAL | FD004 Engine   8 | RUL:  14 cycles | Action: GROUND IMMEDIATELY
🔴 CRITICAL | FD004 Engine  12 | RUL:   7 cycles | Action: GROUND IMMEDIATELY
🔴 CRITICAL | FD004 Engine  15 | RUL:  12 cycles | Action: GROUND IMMEDIATELY
🔴 CRITICAL | FD004 Engine  22 | RUL:  11 cycles | Action: GROUND IMMEDIATELY
🟠 WARNING  | FD004 Engine  23 | RUL:  26 cycles | Action: Schedule inspection
🟠 WARNING  | FD004 Engine  25 | RUL:  39 cycles | Action: Schedule inspection
🔴 CRITICAL | FD004 Engine  31 | RUL:   6 cycles | Action: GROUND IMMEDIATELY
🟠 WARNING  | FD004 Engine  32 | RUL:  22 cycles | Action: Schedule inspection
🟠 WARNING  | FD004 Engine  35 | RUL:  36 cycles | Action: Schedule inspection
🔴 CRITICAL | FD004 Engine  38 | RUL:  11 cycles | Action: GROUND IMMEDIATELY
🔴 CRITICAL | FD004 Engine  40 | RUL:  10 cycles | Action: GROUND IMMEDIATELY
🟠 WARNING  | FD004 Engine  42 | RUL:  30 cycles | Action: Schedule inspection
🟠 WARNING  | FD004 Engine  47 | RUL:  34 cycles | Action: Schedule inspection
🟠 WARNING  | FD004 Engine  49 | RUL:  24 cycles | Action: Schedule inspection
🔴 CRITICAL | FD004 Engine  58 | RUL:   8 cycles | Action: GROUND IMMEDIATELY
🟠 WARNING  | FD004 Engine  62 | RUL:  33 cycles | Action: Schedule inspection
🔴 CRITICAL | FD004 Engine  65 | RUL:  12 cycles | Action: GROUND IMMEDIATELY
🔴 CRITICAL | FD004 Engine  69 | RUL:  12 cycles | Action: GROUND IMMEDIATELY
🟠 WARNING  | FD004 Engine  70 | RUL:  33 cycles | Action: Schedule inspection
🔴 CRITICAL | FD004 Engine  71 | RUL:  15 cycles | Action: GROUND IMMEDIATELY
🟠 WARNING  | FD004 Engine  73 | RUL:  23 cycles | Action: Schedule inspection
🟠 WARNING  | FD004 Engine  77 | RUL:  25 cycles | Action: Schedule inspection
🔴 CRITICAL | FD004 Engine  82 | RUL:  10 cycles | Action: GROUND IMMEDIATELY
🟠 WARNING  | FD004 Engine  99 | RUL:  37 cycles | Action: Schedule inspection
🔴 CRITICAL | FD004 Engine 100 | RUL:   7 cycles | Action: GROUND IMMEDIATELY
🔴 CRITICAL | FD004 Engine 101 | RUL:  13 cycles | Action: GROUND IMMEDIATELY
🟠 WARNING  | FD004 Engine 102 | RUL:  22 cycles | Action: Schedule inspection
🔴 CRITICAL | FD004 Engine 103 | RUL:   9 cycles | Action: GROUND IMMEDIATELY
🟠 WARNING  | FD004 Engine 111 | RUL:  18 cycles | Action: Schedule inspection
🔴 CRITICAL | FD004 Engine 113 | RUL:  13 cycles | Action: GROUND IMMEDIATELY
🔴 CRITICAL | FD004 Engine 114 | RUL:  14 cycles | Action: GROUND IMMEDIATELY
🔴 CRITICAL | FD004 Engine 116 | RUL:  13 cycles | Action: GROUND IMMEDIATELY
🔴 CRITICAL | FD004 Engine 118 | RUL:   8 cycles | Action: GROUND IMMEDIATELY
🟠 WARNING  | FD004 Engine 123 | RUL:  23 cycles | Action: Schedule inspection
🔴 CRITICAL | FD004 Engine 126 | RUL:  15 cycles | Action: GROUND IMMEDIATELY
🟠 WARNING  | FD004 Engine 134 | RUL:  36 cycles | Action: Schedule inspection
🔴 CRITICAL | FD004 Engine 135 | RUL:   7 cycles | Action: GROUND IMMEDIATELY
🟠 WARNING  | FD004 Engine 151 | RUL:  31 cycles | Action: Schedule inspection
🟠 WARNING  | FD004 Engine 154 | RUL:  34 cycles | Action: Schedule inspection
🔴 CRITICAL | FD004 Engine 155 | RUL:   7 cycles | Action: GROUND IMMEDIATELY
🔴 CRITICAL | FD004 Engine 158 | RUL:   6 cycles | Action: GROUND IMMEDIATELY
🟠 WARNING  | FD004 Engine 159 | RUL:  22 cycles | Action: Schedule inspection
🔴 CRITICAL | FD004 Engine 172 | RUL:  12 cycles | Action: GROUND IMMEDIATELY
🔴 CRITICAL | FD004 Engine 173 | RUL:   8 cycles | Action: GROUND IMMEDIATELY
🔴 CRITICAL | FD004 Engine 174 | RUL:  10 cycles | Action: GROUND IMMEDIATELY
🔴 CRITICAL | FD004 Engine 177 | RUL:  12 cycles | Action: GROUND IMMEDIATELY
🔴 CRITICAL | FD004 Engine 179 | RUL:  12 cycles | Action: GROUND IMMEDIATELY
🟠 WARNING  | FD004 Engine 180 | RUL:  32 cycles | Action: Schedule inspection
🟠 WARNING  | FD004 Engine 181 | RUL:  37 cycles | Action: Schedule inspection
🔴 CRITICAL | FD004 Engine 183 | RUL:  15 cycles | Action: GROUND IMMEDIATELY
🔴 CRITICAL | FD004 Engine 184 | RUL:  10 cycles | Action: GROUND IMMEDIATELY
🟠 WARNING  | FD004 Engine 187 | RUL:  24 cycles | Action: Schedule inspection
🔴 CRITICAL | FD004 Engine 194 | RUL:  15 cycles | Action: GROUND IMMEDIATELY
🟠 WARNING  | FD004 Engine 197 | RUL:  36 cycles | Action: Schedule inspection
🔴 CRITICAL | FD004 Engine 198 | RUL:  11 cycles | Action: GROUND IMMEDIATELY
🔴 CRITICAL | FD004 Engine 202 | RUL:  13 cycles | Action: GROUND IMMEDIATELY
🔴 CRITICAL | FD004 Engine 209 | RUL:  11 cycles | Action: GROUND IMMEDIATELY
🔴 CRITICAL | FD004 Engine 213 | RUL:  14 cycles | Action: GROUND IMMEDIATELY
🟠 WARNING  | FD004 Engine 216 | RUL:  17 cycles | Action: Schedule inspection
🟠 WARNING  | FD004 Engine 222 | RUL:  39 cycles | Action: Schedule inspection
🔴 CRITICAL | FD004 Engine 224 | RUL:  14 cycles | Action: GROUND IMMEDIATELY
🟠 WARNING  | FD004 Engine 231 | RUL:  33 cycles | Action: Schedule inspection
🟠 WARNING  | FD004 Engine 235 | RUL:  24 cycles | Action: Schedule inspection
🟠 WARNING  | FD004 Engine 237 | RUL:  18 cycles | Action: Schedule inspection
🟠 WARNING  | FD004 Engine 238 | RUL:  16 cycles | Action: Schedule inspection
🟠 WARNING  | FD004 Engine 244 | RUL:  35 cycles | Action: Schedule inspection
🟠 WARNING  | FD004 Engine 248 | RUL:  26 cycles | Action: Schedule inspection
